,Année,Alerte,Département,Commune,Surface (ha),Nature,Précision de la donnée
,2023,14/02/2023 19:00,19,Laguenne-sur-Avalouze,0.0500,-,-
,2023,14/02/2023 19:23,30,Saint-Césaire-de-Gauzignan,0.1000,-,-
,2023,15/02/2023 11:47,24,Monfaucon,1.0000,Accidentelle,-
,2023,15/02/2023 12:40,11,Montjardin,0.5000,Involontaire (travaux),-
,2023,15/02/2023 13:22,04,Moustiers-Sainte-Marie,1.6200,Involontaire (particulier),-
,2023,15/02/2023 13:34,83,Tourves,0.8000,-,Données partielles ou non valides
,2023,15/02/2023 15:02,29,Plouédern,0.2000,-,-
,2023,15/02/2023 15:27,11,La Palme,0.0800,Involontaire (particulier),-
,2023,15/02/2023 16:14,16,Charras,0.1000,-,-
,2023,15/02/2023 17:18,07,Valgorge,0.1000,Involontaire (particulier),-
,2023,16/02/2023 12:52,13,Auriol,0.0200,Involontaire (particulier),-
,2023,16/02/2023 15:15,47,Cuzorn,1.0000,Involontaire (particulier),-
,2023,16/02/2023 15:21,30,Molières-Cavaillac,0.0367,Involontaire (particulier),-
,2023,16/02/2023 17:16,33,Saint-Philippe-d'Aiguille,0.0300,Malveillance,-
,2023,16/02/2023 17:47,11,Courtauly,8.3928,-,-
,2023,17/02/2023 10:51,30,Portes,0.1061,-,-
,2023,17/02/2023 11:38,07,Rochessauve,2.0000,-,-
,2023,17/02/2023 12:46,07,Châteauneuf-de-Vernoux,0.3500,-,-
,2023,17/02/2023 13:01,24,Saint-Pompont,4.0000,Malveillance,-
,2023,17/02/2023 14:38,38,Revel,0.2000,-,-
,2023,17/02/2023 16:00,31,Ponlat-Taillebourg,1.0000,-,-
,2023,17/02/2023 16:25,11,Saint-Laurent-de-la-Cabrerisse,1.2000,Involontaire (travaux),-
,2023,17/02/2023 16:48,66,Corsavy,0.0020,Accidentelle,-
,2023,17/02/2023 18:15,48,Altier,13.0000,Involontaire (travaux),Données partielles ou non valides
,2023,17/02/2023 18:46,2A,Ucciani,0.0100,-,-
,2023,17/02/2023 18:47,32,Homps,2.0000,-,-
,2023,17/02/2023 18:52,64,Sainte-Engrâce,0.0100,-,-
,2023,17/02/2023 19:52,13,Istres,0.0200,Malveillance,-
,2023,17/02/2023 23:13,11,Lézignan-Corbières,0.3000,Involontaire (travaux),-
,2023,18/02/2023 10:31,11,Peyriac-de-Mer,0.0050,Accidentelle,-
,2023,18/02/2023 12:16,38,Les Côtes-d'Arey,0.0075,-,-
,2023,18/02/2023 13:03,83,Pignans,0.0010,Involontaire (particulier),Données partielles ou non valides
,2023,18/02/2023 14:02,26,Mirmande,0.0300,-,-
,2023,18/02/2023 15:08,34,Avène,8.1599,Involontaire (travaux),-
,2023,18/02/2023 15:13,82,La Ville-Dieu-du-Temple,3.0000,-,Données partielles ou non valides
,2023,18/02/2023 15:33,34,Cruzy,2.6815,Involontaire (travaux),-
,2023,18/02/2023 16:44,13,Martigues,0.0100,-,-
,2023,18/02/2023 18:37,83,Flassans-sur-Issole,0.0005,-,Données partielles ou non valides
,2023,18/02/2023 22:20,47,Prayssas,0.0100,Involontaire (particulier),-
,2023,19/02/2023 11:38,2B,Furiani,0.0050,Malveillance,-
,2023,19/02/2023 12:24,11,Bizanet,0.0002,Involontaire (travaux),-
,2023,19/02/2023 13:56,11,Loupia,0.1000,Accidentelle,-
,2023,19/02/2023 14:02,2B,Feliceto,1.2000,Malveillance,-
,2023,19/02/2023 14:12,12,Brusque,4.0000,-,-
,2023,19/02/2023 14:22,48,Meyrueis,15.0000,Involontaire (travaux),-
,2023,19/02/2023 14:58,06,Saint-Étienne-de-Tinée,0.4000,Malveillance,-
,2023,19/02/2023 15:39,88,La Chapelle-devant-Bruyères,0.0009,-,-
,2023,19/02/2023 15:42,83,Brignoles,0.0500,Malveillance,Données partielles ou non valides
,2023,19/02/2023 15:42,13,Marseille,0.0015,Involontaire (particulier),-
,2023,19/02/2023 16:30,2B,Morsiglia,0.3000,-,-
,2023,19/02/2023 16:41,2B,Zilia,0.3000,-,-
